name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Malaysia,2023-02-21,32.2,24.1,27.5,37.7,24.1,29.6,23,77.9,1.664,100,4.17,rain,0,0,24.1,13.9,356.9,1010.9,51.5,9.9,287.4,24.7,9,30,2023-02-21T07:25:55,2023-02-21T19:27:58,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-22,32.5,24.4,27.7,37.3,24.4,29.9,22.9,76.1,2.698,100,8.33,rain,0,0,11.9,13.7,300.2,1011,48,10,250.9,21.6,9,30,2023-02-22T07:25:43,2023-02-22T19:27:56,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-23,32,24.3,27.4,37.3,24.3,29.2,23.3,79.5,3.093,100,12.5,rain,0,0,9.4,10.5,299.7,1010.2,55.2,9.3,190.9,16.5,9,30,2023-02-23T07:25:31,2023-02-23T19:27:53,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-24,32.1,25,27.7,37.6,25,29.6,23.3,78.3,0.884,100,4.17,rain,0,0,9.4,18.8,227.6,1010.2,50.2,9.4,278.1,23.9,10,30,2023-02-24T07:25:17,2023-02-24T19:27:49,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-25,32.8,24.2,27.4,36,24.2,29,23.1,79.1,0.464,100,4.17,rain,0,0,9.4,13.7,149.5,1011.9,51.6,9.7,202.8,17.7,10,10,2023-02-25T07:25:04,2023-02-25T19:27:45,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-26,33.1,23.3,28.1,35.4,23.3,29.2,20.6,66.3,0,0,0,,0,0,51.8,17.4,66.2,1012.8,49.2,10.3,243.7,21,9,10,2023-02-26T07:24:49,2023-02-26T19:27:40,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-27,31.7,24.7,27.8,35,24.7,29.4,21.4,69,0.046,100,4.17,rain,0,0,18,10.1,347.5,1013.3,52.6,9.8,228.5,19.6,9,10,2023-02-27T07:24:34,2023-02-27T19:27:35,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-28,30,24.7,26.4,32.8,24.7,27.4,22.9,82.2,7.119,100,4.17,rain,0,0,9.4,11.4,357.8,1013.3,52.9,9.6,177.4,15.4,10,30,2023-02-28T07:24:18,2023-02-28T19:27:29,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-03-01,25.7,23.8,24.6,25.7,23.8,24.6,23.5,93.3,5.536,100,4.17,rain,0,0,9.7,7.3,337.5,1014.1,57.3,7.7,28.3,2.6,1,10,2023-03-01T07:24:02,2023-03-01T19:27:22,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-03-02,30.8,23.1,25.7,35.3,23.1,27,23.1,86.6,27.985,100,12.5,rain,0,0,10.4,13.5,264.3,1012.6,52.3,9.2,44.9,3.7,4,10,2023-03-02T07:23:45,2023-03-02T19:27:15,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
